id_automobila,proizvodac,naziv_modela,pocetak_proizvodnje,broj_sjedala,broj_vrata,min_velicina_prtljaznika,max_velicina_prtljaznika,duljina,sirina,visina,zavrsetak_proizvodnje,id_motora,gorivo,broj_cilindri,zapremina,snaga,okretni_moment,id_auta
1,Ford,Focus II,2005,5,5,385,1247,4342,1840,1497,2010,1,Dizel,4,1560,109,240,1
1,Ford,Focus II,2005,5,5,385,1247,4342,1840,1497,2010,2,Benzin,4,1388,80,127,1
1,Ford,Focus II,2005,5,5,385,1247,4342,1840,1497,2010,3,Benzin,4,1596,100,143,1
1,Ford,Focus II,2005,5,5,385,1247,4342,1840,1497,2010,4,Benzin,5,2522,305,440,1
2,Peugeot,307,2001,5,5,341,1328,4202,1730,1512,2005,5,Benzin,4,1361,75,120,2
2,Peugeot,307,2001,5,5,341,1328,4202,1730,1512,2005,6,Dizel,4,1398,68,160,2
2,Peugeot,307,2001,5,5,341,1328,4202,1730,1512,2005,7,Dizel,4,1997,90,205,2
3,Renault,Megane I,1999,5,5,348,1210,4164,1698,1420,2003,8,Benzin,4,1390,95,127,3
3,Renault,Megane I,1999,5,5,348,1210,4164,1698,1420,2003,9,Dizel,4,1870,98,200,3
4,Mazda,3 III,2013,5,5,364,1263,4460,1795,1450,2016,10,Benzin,4,1496,100,150,4
4,Mazda,3 III,2013,5,5,364,1263,4460,1795,1450,2016,11,Benzin,4,1998,120,210,4
4,Mazda,3 III,2013,5,5,364,1263,4460,1795,1450,2016,12,Dizel,4,2191,150,380,4
5,Opel,Corsa C,2000,5,3,260,1050,3817,1646,1440,2003,13,Benzin,3,973,58,85,5
5,Opel,Corsa C,2000,5,3,260,1050,3817,1646,1440,2003,14,Benzin,4,1199,75,110,5
6,Honda,Accord VII,2002,5,4,459,,4665,1760,1445,2007,15,Benzin,4,1998,155,190,6
6,Honda,Accord VII,2002,5,4,459,,4665,1760,1445,2007,16,Benzin,4,2354,190,220,6
6,Honda,Accord VII,2002,5,4,459,,4665,1760,1445,2007,17,Dizel,4,2204,140,340,6
7,Skoda,Octavia III,2013,5,5,590,1580,4659,1814,1461,2017,18,Dizel,4,1968,150,320,7
8,Toyota,86 I,2012,4,2,243,,4240,1775,1285,2016,19,Benzin,4,1998,200,205,8
9,Porsche,991 II,2015,4,2,115,260,4507,1880,1297,2019,20,Benzin,6,2981,370,450,9
9,Porsche,991 II,2015,4,2,115,260,4507,1880,1297,2019,21,Benzin,6,3996,500,460,9
9,Porsche,991 II,2015,4,2,115,260,4507,1880,1297,2019,22,Benzin,6,3800,580,750,9
10,Subaru,Forester V,2018,5,5,2155,,4625,1816,1730,2021,23,Benzin,4,1995,150,194,10
10,Subaru,Forester V,2018,5,5,2155,,4625,1816,1730,2021,24,Benzin,4,2498,182,239,10
11,Hyundai,i30 III,2016,5,5,395,1301,4335,1795,1447,2018,25,Benzin,3,998,120,171,11
11,Hyundai,i30 III,2016,5,5,395,1301,4335,1795,1447,2018,26,Benzin,4,1368,100,134,11
11,Hyundai,i30 III,2016,5,5,395,1301,4335,1795,1447,2018,27,Dizel,4,1582,95,280,11
11,Hyundai,i30 III,2016,5,5,395,1301,4335,1795,1447,2018,28,Benzin,4,1998,275,353,11
